canal,ruim,rms,std,kurt,motivo,fonte
1,False,159.2178318199253,159.21778694002705,0.42881644611465886,,
2,True,0.0,0.0,,Canal morto (RMS=0.000 µV < 1 µV) | Variância nula (std=0.000 µV < 0.5 µV),auto
3,True,0.0,0.0,,Canal morto (RMS=0.000 µV < 1 µV) | Variância nula (std=0.000 µV < 0.5 µV),auto
4,False,74.0080826820435,74.00807265930447,15.152883228926353,,
5,True,0.0,0.0,,Canal morto (RMS=0.000 µV < 1 µV) | Variância nula (std=0.000 µV < 0.5 µV),auto
6,True,0.0,0.0,,Canal morto (RMS=0.000 µV < 1 µV) | Variância nula (std=0.000 µV < 0.5 µV),auto
7,False,66.20753724617836,66.2075131077676,11.264486459863889,,
8,False,2099.031909214007,2099.031374185551,0.6220449445394944,,
9,False,444.9194142085949,444.9191844042532,-0.126370791550229,,
10,True,0.0,0.0,,Canal morto (RMS=0.000 µV < 1 µV) | Variância nula (std=0.000 µV < 0.5 µV),auto
11,True,0.0,0.0,,Canal morto (RMS=0.000 µV < 1 µV) | Variância nula (std=0.000 µV < 0.5 µV),auto
12,True,0.0,0.0,,Canal morto (RMS=0.000 µV < 1 µV) | Variância nula (std=0.000 µV < 0.5 µV),auto
13,False,350.4878999566199,350.4877227318688,-0.2998980312331714,,
14,False,320.56215010105717,320.56205188411843,0.22360620507300633,,
15,False,1720.309772235852,1720.3097716796176,1.7469138442962429,,
16,False,180.99778857996648,180.9977058599687,0.10866936115297188,,
