canal,ruim,rms,std,kurt,motivo,fonte
1,False,72.33840665577976,72.33840592967064,0.31545376017659743,,
2,True,0.0,0.0,,Canal morto (RMS=0.000 µV < 1 µV) | Variância nula (std=0.000 µV < 0.5 µV),auto
3,True,0.0,0.0,,Canal morto (RMS=0.000 µV < 1 µV) | Variância nula (std=0.000 µV < 0.5 µV),auto
4,False,74.81792127324329,74.81792115531876,0.2769813029714996,,
5,False,79.14463321614912,79.14463146016843,0.28447366389002626,,
6,False,65.39415537525022,65.39415524943743,0.2843309561082408,,
7,True,0.0,0.0,,Canal morto (RMS=0.000 µV < 1 µV) | Variância nula (std=0.000 µV < 0.5 µV),auto
8,True,0.0,0.0,,Canal morto (RMS=0.000 µV < 1 µV) | Variância nula (std=0.000 µV < 0.5 µV),auto
9,False,101.42461712305523,101.424481813642,-0.29819617078646843,,
10,True,0.0,0.0,,Canal morto (RMS=0.000 µV < 1 µV) | Variância nula (std=0.000 µV < 0.5 µV),auto
11,True,0.0,0.0,,Canal morto (RMS=0.000 µV < 1 µV) | Variância nula (std=0.000 µV < 0.5 µV),auto
12,False,112.92703220178981,112.92692396217244,-0.39803019049872335,,
13,False,104.21201292823827,104.21190523082497,-0.28506025063531837,,
14,True,0.0,0.0,,Canal morto (RMS=0.000 µV < 1 µV) | Variância nula (std=0.000 µV < 0.5 µV),auto
15,False,93.26613173019274,93.26604941334722,0.23230026888463717,,
16,False,848.2211118616865,848.2194394036029,8.880375909718117,,
