canal,ruim,rms,std,kurt,motivo,fonte
1,False,89.50939784760972,89.50929807957559,0.33309506044077164,,
2,True,0.0,0.0,,Canal morto (RMS=0.000 µV < 1 µV) | Variância nula (std=0.000 µV < 0.5 µV),auto
3,True,0.0,0.0,,Canal morto (RMS=0.000 µV < 1 µV) | Variância nula (std=0.000 µV < 0.5 µV),auto
4,False,88.4816832346885,88.48159689304616,0.3044502448086046,,
5,False,89.99525661533934,89.99515739836045,0.33734652517967234,,
6,False,100.79502793326527,100.79496757632022,0.3463940103889027,,
7,True,326.17090969898294,326.17083792568076,50.29276482754243,Saturação/artefato extremo (kurtosis=50.3 > 50),auto
8,False,88.04034422475206,88.04029385836412,0.15629580596358794,,
9,False,99.01209963020487,99.01206986018128,-0.2022785715402735,,
10,True,0.0,0.0,,Canal morto (RMS=0.000 µV < 1 µV) | Variância nula (std=0.000 µV < 0.5 µV),auto
11,True,0.0,0.0,,Canal morto (RMS=0.000 µV < 1 µV) | Variância nula (std=0.000 µV < 0.5 µV),auto
12,False,110.38509330703761,110.38505416236352,-0.2686487260934025,,
13,False,103.2755196437275,103.27550283606071,-0.15338629604345488,,
14,True,0.0,0.0,,Canal morto (RMS=0.000 µV < 1 µV) | Variância nula (std=0.000 µV < 0.5 µV),auto
15,False,117.83431628324493,117.83431219365893,21.485822373818408,,
16,False,86.19623279484654,86.19619261527801,-0.08751028646636927,,
